Name,CWE-ID,Description,Links
CWE-436,Interpretation Conflict,"Product A handles inputs or steps differently than Product B, which causes A to perform incorrect actions based on its perception of B's state.",https://cwe.mitre.org/data/definitions/436.html
CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop'),"The program contains an iteration or loop with an exit condition that cannot be reached, i.e., an infinite loop.",https://cwe.mitre.org/data/definitions/835.html
CWE-306,Missing Authentication for Critical Function,The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,https://cwe.mitre.org/data/definitions/306.html
CWE-862,Missing Authorization,The software does not perform an authorization check when an actor attempts to access a resource or perform an action.,https://cwe.mitre.org/data/definitions/862.html
CWE-311,Missing Encryption of Sensitive Data,The software does not encrypt sensitive or critical information before storage or transmission.,https://cwe.mitre.org/data/definitions/311.html
CWE-909,Missing Initialization of Resource,The software does not initialize a critical resource.,https://cwe.mitre.org/data/definitions/909.html
CWE-401,Missing Release of Memory after Effective Lifetime,"The software does not sufficiently track and release allocated memory after it has been used, which slowly consumes remaining memory.",https://cwe.mitre.org/data/definitions/401.html
CWE-772,Missing Release of Resource after Effective Lifetime,"The software does not release a resource after its effective lifetime has ended, i.e., after the resource is no longer needed.",https://cwe.mitre.org/data/definitions/772.html
CWE-476,NULL Pointer Dereference,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit.",https://cwe.mitre.org/data/definitions/476.html
CWE-203,Observable Discrepancy,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not.",https://cwe.mitre.org/data/definitions/203.html
CWE-193,Off-by-one Error,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.",https://cwe.mitre.org/data/definitions/193.html
CWE-672,Operation on a Resource after Expiration or Release,"The software uses, accesses, or otherwise operates on a resource after that resource has been expired, released, or revoked.",https://cwe.mitre.org/data/definitions/672.html
CWE-346,Origin Validation Error,The software does not properly verify that the source of data or communication is valid.,https://cwe.mitre.org/data/definitions/346.html
NVD-CWE-Other,Other,"NVD is only using a subset of CWE for mapping instead of the entire CWE, and the weakness type is not covered by that subset.",Invalid
CWE-125,Out-of-bounds Read,"The software reads data past the end, or before the beginning, of the intended buffer.",https://cwe.mitre.org/data/definitions/125.html
CWE-787,Out-of-bounds Write,"The software writes data past the end, or before the beginning, of the intended buffer.",https://cwe.mitre.org/data/definitions/787.html
CWE-617,Reachable Assertion,"The product contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavior that is more severe than necessary.",https://cwe.mitre.org/data/definitions/617.html
CWE-763,Release of Invalid Pointer or Reference,"The application attempts to return a memory resource to the system, but calls the wrong release function or calls the appropriate release function incorrectly.",https://cwe.mitre.org/data/definitions/763.html
CWE-565,Reliance on Cookies without Validation and Integrity Checking,"The application relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.",https://cwe.mitre.org/data/definitions/565.html
CWE-918,Server-Side Request Forgery (SSRF),"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination.",https://cwe.mitre.org/data/definitions/918.html
CWE-384,Session Fixation,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions.",https://cwe.mitre.org/data/definitions/384.html
CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition,"The software checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the software to perform invalid actions when the resource is in an unexpected state.",https://cwe.mitre.org/data/definitions/367.html
CWE-252,Unchecked Return Value,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions.",https://cwe.mitre.org/data/definitions/252.html
CWE-674,Uncontrolled Recursion,"The product does not properly control the amount of recursion which takes place, consuming excessive resources, such as allocated memory or the program stack.",https://cwe.mitre.org/data/definitions/674.html
CWE-400,Uncontrolled Resource Consumption,"The software does not properly control the allocation and maintenance of a limited resource, thereby enabling an actor to influence the amount of resources consumed, eventually leading to the exhaustion of available resources.",https://cwe.mitre.org/data/definitions/400.html
CWE-427,Uncontrolled Search Path Element,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors.",https://cwe.mitre.org/data/definitions/427.html
CWE-428,Unquoted Search Path or Element,"The product uses a search path that contains an unquoted element, in which the element contains whitespace or other separators. This can cause the product to access resources in a parent path.",https://cwe.mitre.org/data/definitions/428.html
CWE-434,Unrestricted Upload of File with Dangerous Type,The software allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,https://cwe.mitre.org/data/definitions/434.html
CWE-426,Untrusted Search Path,The application searches for critical resources using an externally-supplied search path that can point to resources that are not under the application's direct control.,https://cwe.mitre.org/data/definitions/426.html
CWE-601,URL Redirection to Untrusted Site ('Open Redirect'),"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",https://cwe.mitre.org/data/definitions/601.html
CWE-416,Use After Free,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code.",https://cwe.mitre.org/data/definitions/416.html
CWE-327,Use of a Broken or Risky Cryptographic Algorithm,The use of a broken or risky cryptographic algorithm is an unnecessary risk that may result in the exposure of sensitive information.,https://cwe.mitre.org/data/definitions/327.html
CWE-338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",https://cwe.mitre.org/data/definitions/338.html
CWE-134,Use of Externally-Controlled Format String,"The software uses a function that accepts a format string as an argument, but the format string originates from an external source.",https://cwe.mitre.org/data/definitions/134.html
CWE-470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),"The application uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code.",https://cwe.mitre.org/data/definitions/470.html
CWE-798,Use of Hard-coded Credentials,"The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.",https://cwe.mitre.org/data/definitions/798.html
CWE-706,Use of Incorrectly-Resolved Name or Reference,"The software uses a name or reference to access a resource, but the name/reference resolves to a resource that is outside of the intended control sphere.",https://cwe.mitre.org/data/definitions/706.html
CWE-330,Use of Insufficiently Random Values,The software uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.,https://cwe.mitre.org/data/definitions/330.html
CWE-916,Use of Password Hash With Insufficient Computational Effort,"The software generates a hash for a password, but it uses a scheme that does not provide a sufficient level of computational effort that would make password cracking attacks infeasible or expensive.",https://cwe.mitre.org/data/definitions/916.html
CWE-908,Use of Uninitialized Resource,The software uses or accesses a resource that has not been initialized.,https://cwe.mitre.org/data/definitions/908.html
CWE-640,Weak Password Recovery Mechanism for Forgotten Password,"The software contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak.",https://cwe.mitre.org/data/definitions/640.html
CWE-521,Weak Password Requirements,"The product does not require that users should have strong passwords, which makes it easier for attackers to compromise user accounts.",https://cwe.mitre.org/data/definitions/521.html
CWE-91,XML Injection (aka Blind XPath Injection),"The software does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system.",https://cwe.mitre.org/data/definitions/91.html
